ADD-S,ADD-S AUC,fra_cert,class_name
6.0,13.737076759338379,4.0,airplane
0.0,2.5039710998535156,0.0,bathtub
0.0,2.39547061920166,0.0,bed
34.0,29.644277572631836,34.0,bottle
14.0,31.197834014892578,34.0,cap
2.0,13.54199504852295,0.0,car
14.0,23.065629959106445,14.0,chair
30.0,30.945077896118164,10.0,guitar
14.0,22.954004287719727,6.0,helmet
66.0,67.14530944824219,16.0,knife
8.0,14.027068138122559,6.0,laptop
6.0,20.417892456054688,0.0,motorcycle
14.0,16.4852237701416,10.0,mug
16.0,19.436452865600586,6.0,skateboard
28.0,29.998016357421875,28.0,table
6.0,22.987321853637695,2.0,vessel
